Label (Grouping),RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher
        Margin of Error,,(X),±3.9,±3.7,(X),±4.3,±3.7,(X),±20.6,±39.9,(X),±82.2,±82.2,(X),±54.8,±54.8,(X),**,**,(X),±21.5,±45.6,(X),±50.8,±45.1,(X),±4.9,±20.1
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,237","1,237","1,080","1,092","1,092",999,55,55,37,28,28,28,58,58,58,0,0,0,44,35,29,94,94,94,193,184,114
        Margin of Error,,±180,±180,±161,±164,±164,±160,±44,±44,±32,±40,±40,±40,±47,±47,±47,±13,±13,±13,±51,±49,±47,±87,±87,±87,±79,±78,±56
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,87.30%,(X),100.00%,91.50%,(X),100.00%,67.30%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),79.50%,65.90%,(X),100.00%,100.00%,(X),95.30%,59.10%
        Margin of Error,,(X),±3.2,±5.4,(X),±3.6,±4.5,(X),±44.4,±43.4,(X),±62.2,±62.2,(X),±43.2,±43.2,(X),**,**,(X),±34.5,±51.9,(X),±33.1,±33.1,(X),±6.3,±20.3
"Census Tract 6, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"2,827","2,790","2,624","2,630","2,593","2,489",411,279,39,0,0,0,223,223,223,0,0,0,66,46,46,111,99,62,332,300,201
        Margin of Error,,±318,±302,±294,±300,±293,±290,±221,±211,±44,±13,±13,±13,±128,±128,±128,±13,±13,±13,±79,±73,±73,±93,±80,±61,±139,±132,±97
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.70%,92.80%,(X),98.60%,94.60%,(X),67.90%,9.50%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),69.70%,69.70%,(X),89.20%,55.90%,(X),90.40%,60.50%
        Margin of Error,,(X),±1.9,±5.0,(X),±2.1,±3.9,(X),±24.3,±11.7,(X),**,**,(X),±16.4,±16.4,(X),**,**,(X),±55.6,±55.6,(X),±14.0,±55.9,(X),±11.4,±21.5
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,233","1,196","1,116","1,188","1,151","1,099",173,69,0,0,0,0,31,31,31,0,0,0,9,0,0,61,61,40,75,66,17
        Margin of Error,,±209,±185,±171,±189,±175,±172,±126,±90,±13,±13,±13,±13,±39,±39,±39,±13,±13,±13,±16,±13,±13,±55,±55,±49,±56,±60,±27
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),97.00%,90.50%,(X),96.90%,92.50%,(X),39.90%,0.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),0.00%,0.00%,(X),100.00%,65.60%,(X),88.00%,22.70%
        Margin of Error,,(X),±4.2,±8.4,(X),±4.5,±6.1,(X),±37.7,±20.5,(X),**,**,(X),±59.1,±59.1,(X),**,**,(X),±100.0,±100.0,(X),±42.1,±56.6,(X),±27.3,±33.7
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,594","1,594","1,508","1,442","1,442","1,390",238,210,39,0,0,0,192,192,192,0,0,0,57,46,46,50,38,22,257,234,184
        Margin of Error,,±201,±201,±204,±204,±204,±205,±193,±192,±44,±13,±13,±13,±119,±119,±119,±13,±13,±13,±75,±73,±73,±56,±42,±33,±113,±106,±94
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,94.60%,(X),100.00%,96.40%,(X),88.20%,16.40%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),80.70%,80.70%,(X),76.00%,44.00%,(X),91.10%,71.60%
        Margin of Error,,(X),±2.5,±4.0,(X),±2.7,±3.1,(X),±16.0,±24.7,(X),**,**,(X),±18.7,±18.7,(X),**,**,(X),±45.2,±45.2,(X),±27.8,±56.0,(X),±9.8,±21.6
"Census Tract 7.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,979","1,894","1,713","1,774","1,740","1,580",322,296,92,15,15,0,134,134,119,0,0,0,21,21,21,237,237,217,267,216,180
        Margin of Error,,±311,±308,±290,±287,±288,±278,±181,±174,±111,±26,±26,±13,±82,±82,±70,±13,±13,±13,±39,±39,±39,±125,±125,±123,±137,±115,±107
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),95.70%,86.60%,(X),98.10%,89.10%,(X),91.90%,28.60%,(X),100.00%,0.00%,(X),100.00%,88.80%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,91.60%,(X),80.90%,67.40%
        Margin of Error,,(X),±4.5,±6.3,(X),±2.5,±6.2,(X),±12.4,±28.7,(X),±84.9,±84.9,(X),±25.4,±14.8,(X),**,**,(X),±71.8,±71.8,(X),±15.5,±12.5,(X),±26.5,±28.6
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,843,770,672,792,770,672,89,89,27,0,0,0,57,57,42,0,0,0,0,0,0,122,122,122,72,21,21
        Margin of Error,,±204,±190,±188,±192,±190,±188,±88,±88,±46,±13,±13,±13,±44,±44,±33,±13,±13,±13,±13,±13,±13,±88,±88,±88,±86,±35,±35
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),91.30%,79.70%,(X),97.20%,84.80%,(X),100.00%,30.30%,(X),-,-,(X),100.00%,73.70%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),29.20%,29.20%
        Margin of Error,,(X),±9.7,±12.2,(X),±4.8,±10.1,(X),±34.3,±48.1,(X),**,**,(X),±43.6,±32.7,(X),**,**,(X),**,**,(X),±27.3,±27.3,(X),±56.3,±56.3
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,136","1,124","1,041",982,970,908,233,207,65,15,15,0,77,77,77,0,0,0,21,21,21,115,115,95,195,195,159
        Margin of Error,,±259,±258,±230,±235,±233,±206,±146,±140,±101,±26,±26,±13,±55,±55,±55,±13,±13,±13,±39,±39,±39,±90,±90,±86,±112,±112,±103
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.90%,91.60%,(X),98.80%,92.50%,(X),88.80%,27.90%,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,82.60%,(X),100.00%,81.50%
        Margin of Error,,(X),±2.0,±5.5,(X),±2.3,±6.5,(X),±17.5,±35.7,(X),±84.9,±84.9,(X),±37.5,±37.5,(X),**,**,(X),±71.8,±71.8,(X),±28.6,±25.2,(X),±18.4,±21.8
"Census Tract 7.03, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"2,144","2,144","1,841","2,038","2,038","1,773",457,434,417,40,40,0,42,42,42,0,0,0,0,0,0,186,166,79,238,238,113
        Margin of Error,,±335,±335,±276,±339,±339,±273,±118,±122,±113,±58,±58,±13,±37,±37,±37,±13,±13,±13,±13,±13,±13,±150,±155,±79,±168,±168,±89
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,85.90%,(X),100.00%,87.00%,(X),95.00%,91.20%,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),89.20%,42.50%,(X),100.00%,47.50%
        Margin of Error,,(X),±1.8,±8.5,(X),±1.9,±8.5,(X),±7.8,±9.4,(X),±52.0,±52.0,(X),±50.8,±50.8,(X),**,**,(X),**,**,(X),±24.4,±38.3,(X),±15.4,±37.2
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,930,930,826,843,843,777,209,209,192,40,40,0,16,16,16,0,0,0,0,0,0,106,106,19,174,174,49
        Margin of Error,,±171,±171,±156,±185,±185,±154,±89,±89,±80,±58,±58,±13,±23,±23,±23,±13,±13,±13,±13,±13,±13,±133,±133,±25,±150,±150,±49
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,88.80%,(X),100.00%,92.20%,(X),100.00%,91.90%,(X),100.00%,0.00%,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,17.90%,(X),100.00%,28.20%
        Margin of Error,,(X),±4.2,±12.0,(X),±4.6,±11.3,(X),±17.3,±11.9,(X),±52.0,±52.0,(X),±82.2,±82.2,(X),**,**,(X),**,**,(X),±30.4,±44.6,(X),±20.4,±35.3
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,214","1,214","1,015","1,195","1,195",996,248,225,225,0,0,0,26,26,26,0,0,0,0,0,0,80,60,60,64,64,64
        Margin of Error,,±264,±264,±196,±263,±263,±194,±94,±86,±86,±13,±13,±13,±28,±28,±28,±13,±13,±13,±13,±13,±13,±80,±73,±73,±74,±74,±74
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,83.60%,(X),100.00%,83.30%,(X),90.70%,90.70%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),75.00%,75.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±3.2,±12.0,(X),±3.3,±12.1,(X),±13.2,±13.2,(X),**,**,(X),±64.5,±64.5,(X),**,**,(X),**,**,(X),±43.6,±43.6,(X),±41.1,±41.1
"Census Tract 7.04, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,572","1,523","1,335","1,517","1,468","1,300",84,84,63,0,0,0,330,330,330,0,0,0,0,0,0,27,27,27,55,55,35
        Margin of Error,,±356,±351,±279,±356,±351,±278,±93,±93,±88,±13,±13,±13,±172,±172,±172,±13,±13,±13,±13,±13,±13,±36,±36,±36,±55,±55,±44
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),96.90%,84.90%,(X),96.80%,85.70%,(X),100.00%,75.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,63.60%
        Margin of Error,,(X),±4.6,±10.3,(X),±4.8,±10.7,(X),±35.6,±49.7,(X),**,**,(X),±11.4,±11.4,(X),**,**,(X),**,**,(X),±63.3,±63.3,(X),±44.4,±46.6
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,662,662,546,625,625,528,77,77,56,0,0,0,127,127,127,0,0,0,0,0,0,0,0,0,37,37,18
        Margin of Error,,±210,±210,±158,±206,±206,±157,±92,±92,±86,±13,±13,±13,±74,±74,±74,±13,±13,±13,±13,±13,±13,±13,±13,±13,±43,±43,±29
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,82.50%,(X),100.00%,84.50%,(X),100.00%,72.70%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,48.60%
        Margin of Error,,(X),±5.9,±16.2,(X),±6.2,±17.4,(X),±37.5,±57.2,(X),**,**,(X),±26.5,±26.5,(X),**,**,(X),**,**,(X),**,**,(X),±54.1,±51.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,910,861,789,892,843,772,7,7,7,0,0,0,203,203,203,0,0,0,0,0,0,27,27,27,18,18,17
        Margin of Error,,±261,±252,±241,±264,±255,±243,±12,±12,±12,±13,±13,±13,±153,±153,±153,±13,±13,±13,±13,±13,±13,±36,±36,±36,±28,±28,±28
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),94.60%,86.70%,(X),94.50%,86.50%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,94.40%
        Margin of Error,,(X),±8.0,±9.8,(X),±8.2,±10.0,(X),±100.0,±100.0,(X),**,**,(X),±17.8,±17.8,(X),**,**,(X),**,**,(X),±63.3,±63.3,(X),±77.5,±21.7
"Census Tract 8.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"2,171","2,164","1,876","2,031","2,031","1,743",200,200,189,0,0,0,165,165,165,0,0,0,53,53,53,151,151,151,255,248,237
        Margin of Error,,±400,±399,±375,±398,±398,±378,±140,±140,±140,±13,±13,±13,±111,±111,±111,±13,±13,±13,±64,±64,±64,±101,±101,±101,±135,±136,±133
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.70%,86.40%,(X),100.00%,85.80%,(X),100.00%,94.50%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),97.30%,92.90%
        Margin of Error,,(X),±0.5,±7.0,(X),±1.9,±7.4,(X),±18.0,±10.8,(X),**,**,(X),±21.3,±21.3,(X),**,**,(X),±45.2,±45.2,(X),±23.0,±23.0,(X),±5.1,±8.5
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,178","1,178","1,008","1,129","1,129",959,105,105,105,0,0,0,36,36,36,0,0,0,0,0,0,43,43,43,76,76,76
        Margin of Error,,±312,±312,±289,±312,±312,±289,±88,±88,±88,±13,±13,±13,±28,±28,±28,±13,±13,±13,±13,±13,±13,±42,±42,±42,±66,±66,±66
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,85.60%,(X),100.00%,84.90%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±3.3,±10.2,(X),±3.5,±10.7,(X),±30.6,±30.6,(X),**,**,(X),±54.8,±54.8,(X),**,**,(X),**,**,(X),±50.2,±50.2,(X),±37.7,±37.7
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,993,986,868,902,902,784,95,95,84,0,0,0,129,129,129,0,0,0,53,53,53,108,108,108,179,172,161
        Margin of Error,,±162,±163,±162,±159,±159,±161,±79,±79,±79,±13,±13,±13,±104,±104,±104,±13,±13,±13,±64,±64,±64,±91,±91,±91,±91,±91,±91
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),99.30%,87.40%,(X),100.00%,86.90%,(X),100.00%,88.40%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),96.10%,89.90%
        Margin of Error,,(X),±1.1,±6.3,(X),±4.3,±6.8,(X),±32.9,±22.6,(X),**,**,(X),±26.2,±26.2,(X),**,**,(X),±45.2,±45.2,(X),±30.0,±30.0,(X),±6.8,±12.1
"Census Tract 8.03, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,322","1,322","1,255","1,210","1,210","1,143",93,93,80,0,0,0,232,232,232,0,0,0,32,32,32,76,76,50,174,174,174
        Margin of Error,,±273,±273,±266,±291,±291,±284,±61,±61,±56,±13,±13,±13,±195,±195,±195,±13,±13,±13,±48,±48,±48,±70,±70,±44,±105,±105,±105
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,94.90%,(X),100.00%,94.50%,(X),100.00%,86.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,65.80%,(X),100.00%,100.00%
        Margin of Error,,(X),±3.0,±3.6,(X),±3.2,±4.0,(X),±33.4,±20.9,(X),**,**,(X),±15.8,±15.8,(X),**,**,(X),±58.2,±58.2,(X),±37.7,±37.0,(X),±20.4,±20.4
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,529,529,529,514,514,514,11,11,11,0,0,0,92,92,92,0,0,0,0,0,0,0,0,0,15,15,15
        Margin of Error,,±153,±153,±153,±152,±152,±152,±24,±24,±24,±13,±13,±13,±94,±94,±94,±13,±13,±13,±13,±13,±13,±13,±13,±13,±25,±25,±25
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±7.3,±7.3,(X),±7.5,±7.5,(X),±99.2,±99.2,(X),**,**,(X),±33.6,±33.6,(X),**,**,(X),**,**,(X),**,**,(X),±84.9,±84.9
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,793,793,726,696,696,629,82,82,69,0,0,0,140,140,140,0,0,0,32,32,32,76,76,50,159,159,159
        Margin of Error,,±168,±168,±165,±193,±193,±191,±55,±55,±49,±13,±13,±13,±112,±112,±112,±13,±13,±13,±48,±48,±48,±70,±70,±44,±98,±98,±98
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.60%,(X),100.00%,90.40%,(X),100.00%,84.10%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,65.80%,(X),100.00%,100.00%
        Margin of Error,,(X),±4.9,±6.1,(X),±5.6,±7.2,(X),±36.1,±23.1,(X),**,**,(X),±24.5,±24.5,(X),**,**,(X),±58.2,±58.2,(X),±37.7,±37.0,(X),±22.0,±22.0
"Census Tract 8.04, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,984","1,984","1,806","1,918","1,918","1,757",103,103,102,0,0,0,161,161,72,0,0,0,11,11,11,48,48,48,114,114,97
        Margin of Error,,±403,±403,±377,±401,±401,±380,±87,±87,±88,±13,±13,±13,±135,±135,±81,±13,±13,±13,±17,±17,±17,±72,±72,±72,±94,±94,±86
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.00%,(X),100.00%,91.60%,(X),100.00%,99.00%,(X),-,-,(X),100.00%,44.70%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,85.10%
        Margin of Error,,(X),±2.0,±4.4,(X),±2.1,±4.5,(X),±31.1,±4.0,(X),**,**,(X),±21.8,±34.2,(X),**,**,(X),±99.2,±99.2,(X),±47.5,±47.5,(X),±28.8,±27.2
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,006","1,006",855,965,965,831,34,34,34,0,0,0,19,19,19,0,0,0,0,0,0,22,22,22,63,63,46
        Margin of Error,,±223,±223,±204,±218,±218,±202,±53,±53,±53,±13,±13,±13,±27,±27,±27,±13,±13,±13,±13,±13,±13,±33,±33,±33,±63,±63,±51
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,85.00%,(X),100.00%,86.10%,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,73.00%
        Margin of Error,,(X),±3.9,±8.2,(X),±4.1,±8.4,(X),±56.4,±56.4,(X),**,**,(X),±75.5,±75.5,(X),**,**,(X),**,**,(X),±70.1,±70.1,(X),±41.5,±43.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,978,978,951,953,953,926,69,69,68,0,0,0,142,142,53,0,0,0,11,11,11,26,26,26,51,51,51
        Margin of Error,,±224,±224,±229,±227,±227,±232,±69,±69,±70,±13,±13,±13,±122,±122,±61,±13,±13,±13,±17,±17,±17,±40,±40,±40,±50,±50,±50
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,97.20%,(X),100.00%,97.20%,(X),100.00%,98.60%,(X),-,-,(X),100.00%,37.30%,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±4.0,±3.6,(X),±4.1,±3.7,(X),±39.6,±7.7,(X),**,**,(X),±24.2,±31.5,(X),**,**,(X),±99.2,±99.2,(X),±64.5,±64.5,(X),±46.1,±46.1
"Census Tract 9.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,513","1,470","1,331","1,354","1,327","1,242",55,54,40,0,0,0,66,66,63,0,0,0,3,3,0,37,37,28,185,169,96
        Margin of Error,,±267,±261,±251,±251,±247,±242,±41,±41,±33,±13,±13,±13,±51,±51,±51,±13,±13,±13,±8,±8,±13,±32,±32,±25,±94,±83,±63
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),97.20%,88.00%,(X),98.00%,91.70%,(X),98.20%,72.70%,(X),-,-,(X),100.00%,95.50%,(X),-,-,(X),100.00%,0.00%,(X),100.00%,75.70%,(X),91.40%,51.90%
        Margin of Error,,(X),±2.6,±5.0,(X),±2.6,±3.8,(X),±6.4,±20.4,(X),**,**,(X),±40.5,±9.0,(X),**,**,(X),±100.0,±100.0,(X),±54.1,±35.3,(X),±11.6,±29.6
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,743,743,648,663,663,622,28,28,25,0,0,0,0,0,0,0,0,0,3,3,0,31,31,28,90,90,33
        Margin of Error,,±150,±150,±139,±146,±146,±138,±22,±22,±21,±13,±13,±13,±13,±13,±13,±13,±13,±13,±8,±8,±13,±26,±26,±25,±62,±62,±26
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,87.20%,(X),100.00%,93.80%,(X),100.00%,89.30%,(X),-,-,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),100.00%,90.30%,(X),100.00%,36.70%
        Margin of Error,,(X),±5.2,±7.8,(X),±5.9,±4.1,(X),±62.2,±19.2,(X),**,**,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±59.1,±20.2,(X),±34.1,±35.9
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,770,727,683,691,664,620,27,26,15,0,0,0,66,66,63,0,0,0,0,0,0,6,6,0,95,79,63
        Margin of Error,,±141,±138,±135,±142,±139,±135,±22,±22,±16,±13,±13,±13,±51,±51,±51,±13,±13,±13,±13,±13,±13,±16,±16,±13,±58,±54,±51
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),94.40%,88.70%,(X),96.10%,89.70%,(X),96.30%,55.60%,(X),-,-,(X),100.00%,95.50%,(X),-,-,(X),-,-,(X),100.00%,0.00%,(X),83.20%,66.30%
        Margin of Error,,(X),±5.1,±5.6,(X),±5.0,±6.2,(X),±12.9,±43.9,(X),**,**,(X),±40.5,±9.0,(X),**,**,(X),**,**,(X),±100.0,±100.0,(X),±24.2,±29.0
"Census Tract 9.03, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,672,672,640,632,632,600,47,47,22,0,0,0,25,25,12,0,0,0,0,0,0,19,19,19,72,72,72
        Margin of Error,,±170,±170,±166,±170,±170,±164,±41,±41,±27,±13,±13,±13,±23,±23,±15,±13,±13,±13,±13,±13,±13,±36,±36,±36,±58,±58,±58
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.20%,(X),100.00%,94.90%,(X),100.00%,46.80%,(X),-,-,(X),100.00%,48.00%,(X),-,-,(X),-,-,(X),100.00%,100.00%,(X),100.00%,100.00%
        Margin of Error,,(X),±5.8,±4.1,(X),±6.1,±4.3,(X),±48.0,±44.0,(X),**,**,(X),±65.8,±52.0,(X),**,**,(X),**,**,(X),±75.5,±75.5,(X),±38.8,±38.8
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,283,283,277,272,272,266,5,5,5,0,0,0,12,12,12,0,0,0,0,0,0,11,11,11,22,22,22
